EmployeeID,Department,JobTitle,Shift,PayrollStatus
EMP0001,Material Handling,Engineer,C (22-06),Active
EMP0002,Material Handling,Senior Engineer,C (22-06),Active
EMP0003,Stores,Engineer,C (22-06),Active
EMP0004,Packing,Operator,C (22-06),Active
EMP0005,Packing,Engineer,C (22-06),Active
EMP0006,Production,Senior Engineer,C (22-06),Active
EMP0007,Welding,Supervisor,A (06-14),Active
EMP0008,Assembly,Senior Engineer,B (14-22),Active
EMP0009,Material Handling,Senior Engineer,C (22-06),Active
EMP0010,Stores,Operator,B (14-22),Active
EMP0011,Packing,Engineer,C (22-06),Active
EMP0012,Production,Technician,A (06-14),Active
EMP0013,Maintenance,Operator,C (22-06),Active
EMP0014,Assembly,Technician,A (06-14),Active
EMP0015,Material Handling,Senior Engineer,C (22-06),Active
EMP0016,Stores,Operator,A (06-14),Active
EMP0017,Material Handling,Supervisor,C (22-06),Active
EMP0018,Production,Engineer,A (06-14),Active
EMP0019,Production,Technician,C (22-06),Active
EMP0020,Assembly,Operator,B (14-22),Active
EMP0021,Quality,Senior Engineer,A (06-14),Active
EMP0022,Stores,Engineer,C (22-06),Active
EMP0023,Maintenance,Technician,C (22-06),Active
EMP0024,Material Handling,Operator,C (22-06),Active
EMP0025,Stores,Supervisor,A (06-14),Active
EMP0026,Production,Engineer,B (14-22),Active
EMP0027,Quality,Technician,A (06-14),Active
EMP0028,Stores,Technician,C (22-06),Active
EMP0029,Maintenance,Operator,B (14-22),Active
EMP0030,Welding,Technician,A (06-14),Active
EMP0031,Packing,Operator,C (22-06),Active
EMP0032,Packing,Senior Engineer,B (14-22),Active
EMP0033,Quality,Supervisor,C (22-06),Active
EMP0034,Maintenance,Operator,A (06-14),Active
EMP0035,Production,Supervisor,B (14-22),Active
EMP0036,Quality,Engineer,B (14-22),Active
EMP0037,Packing,Senior Engineer,B (14-22),Active
EMP0038,Welding,Supervisor,B (14-22),Active
EMP0039,Material Handling,Senior Engineer,C (22-06),Active
EMP0040,Quality,Senior Engineer,A (06-14),Active
EMP0041,Stores,Engineer,C (22-06),Active
EMP0042,Material Handling,Technician,C (22-06),Active
EMP0043,Material Handling,Operator,B (14-22),Active
EMP0044,Packing,Technician,C (22-06),Active
EMP0045,Maintenance,Operator,C (22-06),Active
EMP0046,Material Handling,Technician,B (14-22),Active
EMP0047,Packing,Supervisor,C (22-06),Active
EMP0048,Maintenance,Technician,B (14-22),Active
EMP0049,Assembly,Engineer,C (22-06),Active
EMP0050,Packing,Technician,C (22-06),Active
EMP0051,Assembly,Senior Engineer,A (06-14),Active
EMP0052,Stores,Engineer,A (06-14),Active
EMP0053,Stores,Technician,C (22-06),Active
EMP0054,Quality,Engineer,B (14-22),Active
EMP0055,Packing,Technician,A (06-14),Active
EMP0056,Production,Supervisor,C (22-06),Active
EMP0057,Packing,Supervisor,A (06-14),Active
EMP0058,Production,Technician,A (06-14),Active
EMP0059,Stores,Technician,C (22-06),Active
EMP0060,Production,Operator,C (22-06),Active
EMP0061,Material Handling,Technician,C (22-06),Active
